id,tokens,ner_tags
43,"['i', 'want', 'a', 'bath', 'but', 'do', ""n't"", 'have', 'a', 'bath', ',', 'shut', 'up', ',', 'sam', ""'s"", 'coming', 'tomorrow', 'and', 'steve', 'and', 'tanya', 'will', 'be', 'round', 'at', '10am', 'so', 'go', 'away', 'you', 'mean', 'people']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,"['What', 'Do', 'S.F.', 'Rabbis', 'Eat', 'Before', 'and', 'After', 'Yom', 'Kippur', '?', 'We', 'Asked', 'Five', 'to', 'Enlighten', 'Us', '!', 'via', '@SFoodie', 'http://bit.ly/aQrFUz']","[0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,"['Not', 'only', 'is', 'it', '#BattlestarGalactica', ""'s"", '32nd', 'Anniversary', ',', 'tonite', 'is', 'the', '3rd', 'season', 'premiere', 'of', '#StarWars', '#TheCloneWars', '!!']","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0]"
46,"['just', 'about', 'off', 'work', '!', 'going', 'to', 'alderwood', 'again', ':)', 'yay', '.', 'hopefully', 'we', 'got', 'cody', ""'s"", 'ipod', 'in', 'the', 'mail', 'today', '.']","[0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0]"
47,"['RT', '@Slijterijmeisje', ':', 'Kreeg', 'net', 'een', 'bruikbare', 'tip', 'van', 'iemand', 'die', 'vorige', 'week', 'was', 'begonnen', 'met', 'een', 'whiskydieet', ',', 'hij', 'was', 'nu', 'al', '3', 'dagen', 'kwijt']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48,"['Its', 'stupid', 'I', 'hate', 'getn', 'a', 'attitude', 'from', 'ppl', 'when', 'I', ""'m"", 'jus', 'tryna', 'be', 'nice', 'n', 'shit', '.', 'WTF', 'now', 'I', ""'m"", 'mad', 'so', 'dnt', 'talk', 'to', 'me', 'right', 'now']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,"['RT', '@DamnTeenQuotes', ':', 'I', 'remember', 'when', 'i', 'was', 'your', 'age', ',', 'spencer', 'from', 'iCarly', 'was', 'Crazy', 'Steve', ',', 'Carly', 'was', 'Megan', 'and', 'Josh', 'was', 'fat', '.', '#damnteenquotes']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 3, 0, 9, 10, 0, 9, 0, 9, 0, 9, 0, 0, 0, 0]"
50,"['Last', 'stop', 'of', 'the', 'day', 'thank', 'goddddd', '(@', 'H-E-B', 'Plus', ')', 'http://4sq.com/7RDhgd']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
51,"['@itzkeving', 'im', 'getting', 'mine', 'off', 'this', 'monday', "":'"", ')']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
52,"['#Fancyflow', '..', 'im', 'in', 'the', 'hair', 'salon', 'right', 'now', '..', 'smh', '..', 'Friday', ',', 'its', 'packed', 'in', 'here', 'RT', '@neimanMarcus203', ':', 'Where', 'is', '@ihavesuperpower', '???']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
53,"['@vogueglamGIRL', 'Ah', 'I', 'know', '!', 'She', 'is', 'simply', 'the', 'best', 'in', 'The', 'Sept', 'Issue', '.', 'My', 'boyfriend', ""'s"", 'aunt', 'worked', 'for', 'Anna', 'Wintor', 'in', 'NY', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 0, 0, 0]"
54,"['You', 'gotta', 'let', 'em', 'lick', 'it', 'before', 'they', 'stick', 'it']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
55,"['There', ""'s"", 'a', 'lot', 'of', 'people', 'showing', 'off', 'their', 'iPhones', 'on', 'facebook', 'today', ',', 'so', '&lt;', 'so', 'is', 'at', 'such', 'a', 'place', ',', 'it', ""'s"", 'really', 'not', 'that', 'interesting', ';o', ')']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
56,"['@Infamous__Kid', 'lol', 'you', 'always', 'got', 'problems', 'with', 'ur', 'hair', 'you', 'said', 'somethin', 'last', 'time', 'like', 'they', 'didnt', 'cut', 'it', 'right', 'ha']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
57,"['For', 'code', 'I', ""'ve"", 'written', 'since', 'Sept', ""'"", '09', ',', 'the', 'delay', 'between', 'commit', 'to', 'SCM', 'and', 'running', 'on', 'customer', 'hardware', 'has', 'been', 'about', '10', 'days', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
58,"['AND', 'EVERYTHING', 'YOU', 'STAND', 'FOR', ',', 'TURNS', 'ON', 'YOU', 'TO', 'SPITE', 'YOU', '?', 'WHAT', 'HAPPENS', 'WHEN', 'YOU', 'BECOME', 'THE', 'MAIN', 'SOURCE', 'OF', 'HER', 'PAIN', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
59,"['Yo', 'kids', '!', 'Today', ""'s"", 'ACF', 'Friday', 'Large', 'Group', 'is', 'at', 'PITT', 'University', '!', 'It', ""'s"", 'at', 'Cathedral', 'of', 'Learning', 'G24', 'at', '7pm', '!', 'Be', 'sure', 'to', 'check', 'it', 'out', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 0, 0, 0, 7, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
60,"['RT', '@WALuvsKatStacks', ':', 'Ah', ',', 'i', 'asked', 'for', 'a', 'follow', 'back', '-', 'when', 'i', 'already', 'hadd', 'one', 'so', 'they', 'call', 'me', 'thirsty', 'lmao', '?', 'Fck', 'you', '#teamkatstacksbitch', '...']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
61,"[':(', 'RT', '@themaine', 'Who', 'is', 'coming', 'to', 'the', 'show', 'tomorrow', 'in', 'Hawaii', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0]"
62,"['chinese', 'food', '..', 'stayin', 'in', 'for', 'tonight', 'but', 'goin', 'to', 'the', 'archery', 'range', 'either', 'tomorrow', 'or', 'sunday']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
63,"['@Strigy', 'got', 'mine', 'in', 'bbt', 'aintree', 'today', '.', 'Played', 'table', 'tennis', 'on', 'it', 'in', 'store', '!', 'V', 'impressed', '.', 'Did', 'you', 'get', 'analogue', 'controller', '2', '?']","[0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
64,"['RT', '@Luq_Combs', ':', 'Funniest', 'thing', 'I', 'heard', 'this', 'week', '.', 'Wingo', 'tellin', 'me', 'and', 'wood', '.', '""', 'I', ""'m"", 'scared', '""', '#pow#pow#pow@Cowboy_Wingo']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
65,"['Today', ""'s"", 'cheer', 'went', 'from', 'awful', 'to', 'awesome', 'from', 'the', 'moment', 'I', 'realized', 'I', 'did', 'not', 'have', 'class', 'today', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
66,"['Time', 'Warner', 'Cable', 'Boycotting', 'Epix', 'Movie', 'Channel', 'Because', 'It', 'Did', 'A', 'Deal', 'With', 'Netflix', 'http://dlvr.it/5RgcL']","[1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
67,"['Fresh', 'out', 'the', 'psych', 'ward', 'today']","[0, 0, 0, 0, 0, 0]"
68,"['Today', 'was', 'awesome', ',', 'I', 'finally', 'get', 'to', 'relax', ':)']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
69,"['My', '#twitter', 'age', 'is', '458', 'days', '0', 'hours', '3', 'minutes', '49', 'seconds', '.', 'Find', 'out', 'yours', 'at', 'http://twitter.seocoder.org/', '#twittertime']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,"['What', 'is', 'it', 'with', 'people', 'and', 'punctuality', '?', 'I', 'used', 'to', 'be', 'that', 'guy', 'and', 'honestly', ',', 'it', ""'s"", 'a', 'haze', 'now', '.', 'Just', 'be', 'on', 'time', '.', 'It', ""'s"", 'not', 'like', 'its', 'a', 'surprise', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
71,"['After', 'I', 'pet', 'a', 'kitten', 'on', 'JFK', ',', 'the', 'owners', 'informed', 'me', 'it', ""'s"", ""'"", 'double-pawed', ""'"", '(', 'polydactyl)', ',', 'which', 'is', '""', 'a', 'form', 'of', 'retardation', 'in', 'the', 'animal', 'kingdom', '""']","[0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
72,"['Soulja', 'Boy', '|', 'TheDeAndreWay', '.', 'com', '-', 'The', 'DeAndre', 'Way', 'in', 'stores', 'Nov', '.', '2', ',', '2010', 'http://t.co/woAiLlZ', 'via', '@SouljaBoy']","[9, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
73,"['About', 'online', 'dietician', ':', 'A', 'thinner', 'stool', 'than', 'usual', 'can', 'be', 'identified', 'and', 'removed', 'before', 'they', 'get', 'are', '2', 'weeks', 'ago', 'J', '...', 'http://bit.ly/cYGBdz']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
74,"['RT', '@RMBWilliams', ':', 'Here', 'in', 'DC', '!', 'About', 'to', 'get', 'some', 'rest', '!', 'Looking', 'forward', 'to', 'tonight', '!', 'Yes-sir', '!']","[0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
75,"['RT', '@twitter', ':', '#AskEv', 'your', 'big', 'questions', 'about', 'the', 'new', 'Twitter', '.', 'com', 'today', 'at', '1pm', 'PST', '.', ""'ll"", 'be', 'responding', 'from', 'his', 'own', 'account', '(@ev)', '.', 'Make', '...']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
76,"['I', 'need', 'a', 'syringe', 'of', 'anything', 'you', 'want', 'but', 'which', 'will', 'switch', 'me', 'off', 'till', 'tomorrow', 'noon', ',', 'anyone', '??']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
77,"['RT', '@high_n_fly', ':', '#FACT', 'when', 'you', 'are', 'comfortable', 'with', 'yourself', 'nothing', 'else', 'matters', 'nobody', 'can', 'tell', 'you', 'about', 'yourself', '#HnF']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
78,"['Lindsay', 'Lohan', 'allegedly', 'failed', 'her', 'drug', 'test', '.', 'So', 'not', 'fetch', '.', 'Quick', ',', 'let', ""'s"", 'all', 'put', 'on', 'our', 'shocked', 'faces', 'that', '23', 'days', 'of', 'rehab', 'did', ""n't"", 'work', '!']","[9, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
79,"['I', 'remember', 'when', 'you', 'all', 'were', 'thiiis', 'big', ',', 'you', 'know', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
80,"['I', 'have', 'a', 'strong', 'hunch', 'Adam', 'will', 'be', 'a', 'story', 'on', 'TMZ', 'tonight', '.', 'Gulp', '.']","[0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
81,"['WEDNESDAY', 'NITES', 'WE', 'CRANK', 'IT', 'UP', 'AT', 'VISIONS', 'LOUNGE', '!!!!!', '18+', 'NO', 'COLLEGE', 'ID', 'NEEDED', '!', 'LADIES', 'FREE', 'B4', '11PM', '!', 'VISIONS', 'LOUNGE', '(', '247', '1ST', 'AVE', 'HKY', ')']","[0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 0, 0, 0, 0, 0]"
82,"['@angelportugues', 'LMAO', '!', 'When', 'is', 'tht', 'one', 'day', '?:', 'P']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
83,"['RT', '@PLLGirls', ':', 'Episodes', '1-10', 'of', 'Pretty', 'Little', 'Liars', 'will', 'air', 'in', 'the', 'UK', 'on', 'October', '18', '!']","[0, 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 7, 0, 0, 0, 0]"
84,"['@Loserface_Laura', 'when', 'mike', 'lets', 'me', 'know', ',', 'I', 'will', 'let', 'you', 'know', '.', 'I', 'mean', 'everyone', 'might', 'just', 'switch', 'out', 'a', 'lot', '.']","[0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
85,"['Such', 'a', 'shiny', 'morning', '!!!', 'Love', 'It', '.', 'Anyways', ',', 'today', 'will', 'be', 'very', 'busy', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
86,"['@BornThisWayBaby', 'thankk', 'yhuu', '#monsterlove', 'u', 'just', 'made', 'my', 'day', ':D']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
87,"['Why', 'hate', 'on', 'somebody', 'for', 'doing', 'well', 'when', 'you', 'can', 'simply', 'say', 'great', 'job', 'and', 'move', 'on', '..', '[Haters', 'u', 'can', 'kill', 'yourself', ']', 'cuz', 'ur', 'losers']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
